NATIONAL FOREST,WILDERNESS,LAT,LONG,UTME,UTMN,ZONE,MONITORING SITE NAME,site_rename,DATE,TIME,SAMPLE TYPE,pH,ANC,SPECIFIC CONDUCTIVITY (SC),Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,COMMENT,Uncategorized
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,07-23-2002,1200,BLANK,5.64,3.8,1.0,0.0,0.02,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,BLANK,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE  ,ABYSS LAKE,07-14-2007,1135,BLANK,5.49,-2.75,1.44,0.0,0.0,0.0,0.0,0.0,,,,,,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-13-2000,1000,DUPLICATE,6.6,95.5,14.7,0.49,0.0,0.33,0.21,2.44,0.07,0.13,0.44,0.0,1.63,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-27-2000,1445,DUPLICATE,6.7,104.5,16.89,0.61,0.15,0.35,0.22,2.39,0.09,0.11,0.97,0.0,1.83,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,09-23-2016,1100,DUPLICATE,6.51,83.06,23.1,0.93,0.01,0.41,0.26,3.3,0.07,0.16,1.59,0.0,2.72,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,09-29-2017,16:16,DUPLICATE,6.98,134.13,22.19,0.88,0.02,0.43,0.29,3.02,0.06,0.18,1.31,0.0,2.71,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,09-25-2020,1101,DUPLICATE,6.98,133.61,23.63,0.75,0.03,0.47,0.21,3.02,0.06,0.19,0.98,0.0,2.85,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,07-23-2002,1200,DUPLICATE,6.97,110.7,20.8,0.71,0.05,0.47,0.26,2.71,0.07,0.17,0.72,0.0,2.44,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,09-25-2002,1130,DUPLICATE,7.24,122.4,23.5,0.8,0.0,0.47,0.32,3.32,0.09,0.23,1.14,0.0,2.94,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,09-18-2003,1400,DUPLICATE,7.12,119.0,25.6,0.77,0.05,0.45,0.31,3.27,0.09,0.21,2.38,0.0,2.97,DUP,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,07-14-2007,1135,DUPLICATE,7.06,99.73,18.06,0.68,0.0,0.33,0.23,2.52,,,,,,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,08-26-2010,1430,DUPLICATE,6.84,116.19,19.46,0.56,0.06,0.17,0.3,2.95,0.07,0.17,1.2,0.0,2.37,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,09-27-2011,1443,DUPLICATE,7.21,105.47,19.11,0.73,0.0,0.34,0.08,2.33,0.07,0.14,1.31,0.0,2.26,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-13-2000,1000,REGULAR,6.49,90.1,14.57,0.48,0.0,0.33,0.21,2.42,0.07,0.12,0.45,0.0,1.63,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-27-2000,1445,REGULAR,6.74,105.5,16.91,0.61,0.15,0.39,0.22,2.38,0.09,0.11,0.98,0.0,1.83,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,09-27-2000,1320,REGULAR,7.14,89.5,18.58,0.64,0.02,0.41,0.24,2.56,0.06,0.14,1.32,0.0,2.02,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-23-2002,1200,REGULAR,7.04,111.6,20.7,0.65,0.04,0.44,0.25,2.69,0.08,0.19,0.73,0.0,2.46,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-23-2002,1115,REGULAR,7.16,118.5,21.6,0.73,0.0,0.46,0.28,2.93,0.0,0.2,0.99,0.0,2.63,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,09-25-2002,1130,REGULAR,7.19,122.2,22.8,0.81,0.0,0.46,0.32,3.41,0.09,0.22,1.13,0.0,2.96,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-10-2003,1530,REGULAR,7.14,99.46,19.93,0.59,0.0,0.41,0.21,2.34,0.07,0.21,1.0,0.0,2.13,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-24-2003,1145,REGULAR,7.15,98.1,22.1,0.68,0.02,0.44,0.26,2.76,0.08,0.21,1.51,0.0,2.58,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,09-18-2003,1400,REGULAR,7.07,112.3,25.4,0.77,0.05,0.44,0.31,3.26,0.09,0.22,2.38,0.0,2.97,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-14-2004,1515,REGULAR,7.06,95.0,22.6,0.7,0.0,0.52,0.29,2.92,0.05,0.2,1.6,0.0,2.84,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-25-2004,1600,REGULAR,7.04,101.63,23.9,0.81,0.02,0.48,0.29,3.03,0.06,0.21,1.8,0.0,3.15,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-12-2005,1515,REGULAR,7.03,87.92,21.4,0.67,0.0,0.42,0.25,2.69,0.07,0.18,1.3,0.0,2.6,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-24-2005,1615,REGULAR,7.12,97.26,22.2,0.74,0.0,0.43,0.28,2.9,0.06,0.16,1.8,0.0,2.73,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-17-2006,1320,REGULAR,6.91,81.25,18.79,0.63,0.0,0.39,0.24,2.47,0.04,0.16,1.58,0.0,2.32,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-14-2007,1135,REGULAR,7.06,101.45,18.39,0.65,0.0,0.36,0.23,2.48,,,,,,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-21-2007,1135,REGULAR,7.22,106.09,20.3,0.82,0.0,0.39,0.26,2.77,,,,,,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-11-2008,1130,REGULAR,7.11,87.31,17.73,0.71,0.0,0.39,0.26,2.43,0.03,0.14,0.93,0.0,2.03,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-31-2008,1430,REGULAR,7.11,102.36,20.6,0.78,0.0,0.43,0.26,2.79,0.06,0.16,1.67,0.0,2.64,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,09-29-2008,915,REGULAR,7.07,124.73,22.2,0.87,0.0,0.44,0.28,2.88,0.05,0.22,1.4,0.0,2.61,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-15-2009,1245,REGULAR,7.19,110.0,19.07,0.77,0.0,0.41,0.23,2.43,0.05,0.17,0.77,0.0,2.21,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-27-2009,1615,REGULAR,7.12,123.07,19.83,0.86,0.0,0.41,0.25,2.64,0.07,0.18,0.7,0.0,2.45,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-16-2010,1215,REGULAR,6.89,116.55,22.11,0.87,0.05,0.51,0.29,2.43,0.06,0.44,0.69,0.0,2.13,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-26-2010,1430,REGULAR,6.83,117.55,19.18,0.54,0.07,0.18,0.43,2.61,0.07,0.17,1.2,0.0,2.36,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,09-21-2010,1410,REGULAR,6.94,126.15,23.94,0.63,0.05,0.26,0.0,0.18,0.06,0.18,0.98,0.0,2.42,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-31-2011,1330,REGULAR,7.21,103.3,19.09,0.69,0.0,0.32,0.07,1.69,0.03,0.16,0.1,0.0,1.16,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,09-27-2011,1440,REGULAR,7.25,105.38,19.87,0.73,0.0,0.34,0.08,2.05,0.07,0.14,1.33,0.0,2.26,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-25-2012,1235,REGULAR,7.0,125.53,19.32,,,,,,,,,,,FILTERED,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-29-2012,1310,REGULAR,6.77,128.17,21.21,,,,,,,,,,,FILTERED,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-28-2016,1140,REGULAR,7.22,126.11,19.91,0.75,0.1,0.37,0.23,2.49,0.06,0.13,0.53,0.0,1.73,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-19-2016,1050,REGULAR,7.24,122.48,21.4,0.83,0.02,0.4,0.24,2.64,0.07,0.15,1.1,0.0,2.29,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-28-2017,10:50,REGULAR,7.23,111.66,19.24,0.66,0.02,0.31,0.24,2.41,0.07,0.12,1.17,0.0,2.15,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-26-2017,10:55,REGULAR,6.71,122.48,24.05,0.87,0.06,0.4,0.28,2.82,0.09,0.21,1.84,0.04,3.46,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,09-29-2017,16:15,REGULAR,6.96,127.83,22.28,0.87,0.02,0.43,0.29,2.98,0.07,0.18,1.3,0.0,2.68,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-27-2018,1043,REGULAR,7.21,275.32,35.08,1.25,0.07,0.54,0.67,4.77,0.0,0.18,1.25,0.0,3.1,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-24-2018,1055,REGULAR,7.18,112.32,21.3,0.81,0.04,0.41,0.28,3.73,0.0,0.17,0.85,0.0,2.44,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,09-28-2018,1210,REGULAR,6.84,131.78,23.86,0.85,0.05,0.42,0.31,3.86,0.03,0.12,0.57,0.0,2.7,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-19-2019,11:12,REGULAR,6.84,125.1,21.15,0.65,0.05,0.4,0.27,3.08,0.09,0.16,1.12,0.0,2.13,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-22-2019,11:50,REGULAR,6.69,105.38,24.05,0.9,0.04,0.46,0.3,2.13,0.03,0.27,1.32,0.0,2.4,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,10-01-2019,1035,REGULAR,6.93,144.82,22.82,0.78,0.03,0.38,0.3,2.42,0.08,0.17,1.18,0.0,2.7,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-24-2020,1010,REGULAR,6.88,108.86,20.78,0.68,0.03,0.45,0.32,2.8,0.04,0.2,1.16,0.0,2.63,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-21-2020,11:30,REGULAR,6.91,130.32,23.38,0.75,0.03,0.47,0.37,3.11,0.06,0.19,1.38,0.0,2.89,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,09-25-2020,1100,REGULAR,6.96,132.14,23.8,0.78,0.03,0.47,0.23,3.0,0.06,0.19,0.98,0.0,2.85,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,08-23-2002,1115,REGULAR,7.22,117.4,22.0,0.68,0.03,0.46,0.28,2.93,0.0,0.18,0.99,0.0,2.57,96 Hours,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,08-23-2002,1115,REGULAR,7.22,117.9,21.6,0.68,0.04,0.46,0.28,2.94,0.0,0.18,1.0,0.0,2.6,96 Hours,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,08-23-2002,1115,REGULAR,7.2,115.9,21.5,0.68,0.03,0.46,0.29,2.92,0.0,0.18,0.98,0.0,2.56,96 Hours,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,08-23-2002,1115,REGULAR,7.21,115.9,21.7,0.68,0.03,0.46,0.29,2.92,0.0,0.18,0.99,0.0,2.56,96 Hours,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,08-23-2002,1115,REGULAR,7.19,116.8,22.3,0.69,0.04,0.48,0.28,2.95,0.0,0.21,0.99,0.0,2.59,96 Hours,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,08-08-1993,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,08-08-1993,,,6.97,87.1,12.64,0.44,0.0,0.3,0.17,1.85,0.0,0.11,0.5,0.0,1.53,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,07-05-1994,,,6.88,,12.53,0.38,0.02,0.3,0.16,1.46,0.0,0.12,0.35,0.0,1.38,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,08-22-1994,,,6.79,,13.89,0.42,0.01,0.3,0.17,1.93,0.0,0.12,0.53,0.0,1.53,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,10-01-1994,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,08-04-1995,,,6.73,,12.7,0.39,0.01,0.32,0.21,1.79,0.02,0.11,0.62,0.0,1.26,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,09-13-1995,,,6.83,,11.97,0.45,0.02,0.28,0.17,1.87,0.02,0.11,0.43,0.0,1.39,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,10-04-1995,,,6.43,,12.81,0.5,0.01,0.29,0.15,1.68,0.02,0.15,0.36,0.0,1.56,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,10-04-1995,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,07-20-1996,,,6.3,,11.34,0.4,0.01,0.35,0.16,1.54,0.04,0.14,0.01,0.0,1.11,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,08-15-1996,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,09-17-1996,,,6.3,,12.03,0.44,0.03,0.34,0.21,2.07,0.02,0.11,0.27,0.0,1.32,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,09-17-1996,,,6.24,,11.89,0.45,0.02,0.36,0.21,2.09,0.02,0.12,0.27,0.0,1.31,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,07-05-1997,,,6.77,,15.88,0.47,0.01,0.37,0.19,2.0,0.02,0.15,0.81,0.0,1.44,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,08-09-1997,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,09-13-1997,,,6.68,,13.11,0.53,0.01,0.35,0.19,2.01,0.02,0.15,0.7,0.0,1.39,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,07-18-1998,,,6.81,,12.8,0.57,0.02,0.32,0.21,1.84,0.05,0.28,0.64,0.0,1.46,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,08-15-1998,,,6.72,,13.5,0.59,0.02,0.35,0.2,1.96,0.05,0.1,0.78,0.02,1.43,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,09-16-1998,,,6.74,,14.7,0.44,0.08,0.29,0.19,2.22,0.05,0.1,0.92,0.0,1.64,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,07-09-1999,,,6.61,,12.22,0.47,0.05,0.33,0.19,2.01,0.04,0.16,0.9,0.0,1.5,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,07-09-1999,,,6.63,,12.61,0.47,0.05,0.32,0.18,1.92,0.05,0.17,0.97,0.0,1.51,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,08-20-1999,,,6.84,,14.55,0.49,0.01,0.3,0.17,1.56,0.05,0.21,1.19,0.0,1.67,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,09-17-1999,,,6.64,,15.24,0.53,0.01,0.27,0.21,1.83,0.06,0.19,0.98,0.0,1.77,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.14250,-107.09805,318683,4334686,13,AVALANCHE LAKE,AVALANCHE LAKE,08-02-2005,1440,BLANK,5.85,4.16,1.02,0.07,0.04,0.06,0.0,0.02,0.04,0.23,0.0,0.0,0.0,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.14250,-107.09805,318683,4334686,13,AVALANCHE LAKE,AVALANCHE LAKE,07-27-2007,,BLANK,5.62,5.26,1.11,0.0,0.0,0.0,0.0,0.0,,,,,,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.14250,-107.09805,318683,4334686,13,AVALANCHE LAKE,AVALANCHE LAKE,08-04-2008,,BLANK,5.69,1.4,1.06,0.0,0.01,0.0,0.01,0.08,0.04,0.0,0.01,0.02,0.03,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.14250,-107.09805,318683,4334686,13,AVALANCHE LAKE,AVALANCHE LAKE,08-04-2010,,BLANK,5.6,28.23,1.39,0.04,0.0,0.0,0.03,0.61,0.0,0.01,0.0,0.0,0.01,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.14250,-107.09805,318683,4334686,13,AVALANCHE LAKE,AVALANCHE LAKE,08-30-2004,1355,DUPLICATE,7.58,255.14,33.9,0.85,0.02,0.31,0.27,5.59,0.04,0.19,0.8,0.0,2.13,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.14250,-107.09805,318683,4334686,13,AVALANCHE LAKE,AVALANCHE LAKE,07-03-2000,1145,REGULAR,6.87,197.0,26.4,0.56,0.0,0.19,0.23,4.66,0.0,0.1,0.8,0.0,1.33,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.14250,-107.09805,318683,4334686,13,AVALANCHE LAKE,AVALANCHE LAKE,08-10-2000,1155,REGULAR,7.1,244.6,33.4,0.71,0.07,0.26,0.24,4.68,0.08,0.25,0.58,0.0,1.52,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.14250,-107.09805,318683,4334686,13,AVALANCHE LAKE,AVALANCHE LAKE,09-06-2000,1235,REGULAR,7.11,272.8,36.5,0.88,0.01,0.26,0.26,5.64,0.04,0.19,1.51,0.0,1.65,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.14250,-107.09805,318683,4334686,13,AVALANCHE LAKE,AVALANCHE LAKE,06-30-2001,1110,REGULAR,7.25,166.4,21.5,0.52,0.0,0.21,0.21,3.73,0.03,0.1,0.83,0.0,1.23,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.14250,-107.09805,318683,4334686,13,AVALANCHE LAKE,AVALANCHE LAKE,07-27-2001,1140,REGULAR,7.29,201.2,27.6,0.62,0.0,0.2,0.22,4.34,0.05,0.11,0.69,0.0,1.46,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.14250,-107.09805,318683,4334686,13,AVALANCHE LAKE,AVALANCHE LAKE,09-02-2001,1311,REGULAR,7.5,284.6,38.3,0.89,0.0,0.27,0.28,6.16,0.06,0.21,1.4,0.0,1.94,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.14250,-107.09805,318683,4334686,13,AVALANCHE LAKE,AVALANCHE LAKE,07-02-2002,1635,REGULAR,7.35,215.57,27.0,0.62,0.04,0.21,0.26,4.73,0.0,0.13,0.92,0.0,1.73,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.14250,-107.09805,318683,4334686,13,AVALANCHE LAKE,AVALANCHE LAKE,07-29-2002,1100,REGULAR,7.5,250.6,31.2,0.77,0.03,0.26,0.28,5.53,0.06,0.19,1.23,0.0,1.85,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.14250,-107.09805,318683,4334686,13,AVALANCHE LAKE,AVALANCHE LAKE,08-29-2002,1100,REGULAR,7.51,294.1,37.0,0.93,0.0,0.29,0.3,6.37,0.0,0.25,1.29,0.0,2.02,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.14250,-107.09805,318683,4334686,13,AVALANCHE LAKE,AVALANCHE LAKE,06-07-2003,930,REGULAR,7.36,195.49,24.4,0.59,0.0,0.3,0.22,4.21,0.04,0.15,0.98,0.0,1.48,,
